audio_path,text,duration
data/TRAIN/DR4/MMDM0/SI681.WAV,would_such_an_act_of_refusal_be_useful,2.496
data/TRAIN/DR4/MMDM0/SA2.WAV,dont_ask_me_to_carry_an_oily_rag_like_that,2.528
data/TRAIN/DR4/MMDM0/SX411.WAV,butterscotch_fudge_goes_well_with_vanilla_ice_cream,3.50725
data/TRAIN/DR4/MMDM0/SA1.WAV,she_had_your_dark_suit_in_greasy_wash_water_all_year,3.161625
data/TRAIN/DR4/MMDM0/SX231.WAV,i_honor_my_mom,1.61925
data/TRAIN/DR4/MMDM0/SX51.WAV,ambidextrous_pickpockets_accomplish_more,2.7968125
data/TRAIN/DR4/MMDM0/SX141.WAV,pledge_to_participate_in_nevadas_aquatic_competition,3.161625
data/TRAIN/DR4/MMDM0/SI1941.WAV,well_talk_over_at_your_office,1.8624375
data/TRAIN/DR4/MMDM0/SI1311.WAV,soil_redeposition_is_evaluated_by_washing_clean_swatches_with_the_dirty_ones,5.4144375
data/TRAIN/DR4/MMDM0/SX321.WAV,the_groundhog_clearly_saw_his_shadow_but_stayed_out_only_a_moment,3.577625
data/TRAIN/DR4/MCSS0/SX300.WAV,amoebas_change_shape_constantly,2.3744375
data/TRAIN/DR4/MCSS0/SX210.WAV,jeffs_toy_gocart_never_worked,2.3424375
data/TRAIN/DR4/MCSS0/SI750.WAV,add_a_few_caraway_seeds_too_if_youd_like,2.7648125
data/TRAIN/DR4/MCSS0/SI1380.WAV,there_is_little_doubt_that_the_students_benefit_from_vocational_education,4.288
data/TRAIN/DR4/MCSS0/SA2.WAV,dont_ask_me_to_carry_an_oily_rag_like_that,2.8608125
data/TRAIN/DR4/MCSS0/SA1.WAV,she_had_your_dark_suit_in_greasy_wash_water_all_year,3.3728125
data/TRAIN/DR4/MCSS0/SX390.WAV,he_picked_up_nine_pairs_of_socks_for_each_brother,2.99525
data/TRAIN/DR4/MCSS0/SX30.WAV,get_a_calico_cat_to_keep,2.0224375
data/TRAIN/DR4/MCSS0/SI688.WAV,the_dead_spirits_occupied_a_prominent_place_in_every_hope_and_in_every_fear,4.8
data/TRAIN/DR4/MCSS0/SX120.WAV,the_coyote_bobcat_and_hyena_are_wild_animals,3.63525
data/TRAIN/DR4/MCDR0/SI524.WAV,within_a_system_however_the_autonomy_of_each_member_library_is_preserved,4.7745
data/TRAIN/DR4/MCDR0/SX164.WAV,curiosity_and_mediocrity_seldom_coexist,3.8336875
data/TRAIN/DR4/MCDR0/SI1784.WAV,there_was_a_grunt_curiously_inarticulate_like_that_of_an_animal_in_pain,4.88325
